x,y,z,V,Robot
-0.14365031,-0.18342432,0.43139756,[0.26455012],Franka-Panda
0.25042668,0.12395062,0.27311867,[0.51344013],Franka-Panda
-0.009128891,-0.004027226,0.41339418,[0.11358236],Franka-Panda
0.2789431,0.008924505,-0.17319901,[0.2611392],Franka-Panda
0.042074785,-0.23119333,-0.16560774,[0.4367683],Franka-Panda
-0.10337215,-0.29662865,0.20005366,[0.7867327],Franka-Panda
-0.23146202,-0.24927402,0.70110893,[0.13922007],Franka-Panda
-0.20455295,-0.19088891,0.59227175,[0.8784605],Franka-Panda
-0.45186332,0.05252948,0.8092013,[0.38777277],Franka-Panda
0.08060074,0.03947898,0.41305763,[0.2618506],Franka-Panda
0.46137792,-0.3211363,0.3567959,[0.8263374],Franka-Panda
-0.36924043,0.10815146,0.14244723,[0.3308618],Franka-Panda
0.029885914,0.38743648,0.21104585,[0.3886246],Franka-Panda
-0.058769897,0.010300025,0.48694757,[0.4845762],Franka-Panda
0.16860652,-0.28662193,0.25521687,[0.3919109],Franka-Panda
-0.08737999,0.34081542,0.38374704,[0.56709826],Franka-Panda
-0.06275977,-0.23977908,-0.09862806,[0.3419279],Franka-Panda
-0.14123076,-0.07740232,0.27284548,[0.48958424],Franka-Panda
0.007942865,0.20098878,0.300852,[0.47667333],Franka-Panda
-0.25299743,-0.13617867,0.36862922,[0.6151301],Franka-Panda
-0.4043408,0.28377703,0.064765655,[1.5264103],Franka-Panda
-0.384142,-0.1755685,-0.0051502064,[0.30016953],Franka-Panda
-0.5286605,-0.46654636,0.12384476,[0.9816545],Franka-Panda
-0.24418917,-0.16290227,1.0171689,[0.4478106],Franka-Panda
0.09369429,0.55546874,0.6102259,[0.15977125],Franka-Panda
0.035586346,-0.30516726,0.7783226,[0.70933574],Franka-Panda
-0.18581095,0.06807259,0.84603643,[0.35802144],Franka-Panda
0.33301204,0.11968101,-0.19595672,[0.33258438],Franka-Panda
0.33941448,-0.23286569,0.7151654,[0.9095868],Franka-Panda
0.516397,-0.2237655,0.21279934,[0.46350712],Franka-Panda
0.0021150112,-0.104379624,0.37971443,[0.32193157],Franka-Panda
0.3475736,0.33884996,0.7181379,[0.5465327],Franka-Panda
0.13246925,-0.06231495,-0.09867649,[0.10065778],Franka-Panda
-0.18415877,-0.027747042,1.1450237,[0.04150379],Franka-Panda
0.25964677,0.1382907,0.22910053,[0.25909427],Franka-Panda
0.23786646,0.25487465,0.2782244,[0.48493952],Franka-Panda
0.60207343,-0.21019626,0.47811204,[1.3413132],Franka-Panda
-0.00039907545,-0.12471362,0.39992738,[0.04104716],Franka-Panda
0.20209688,-0.33406723,0.5569575,[0.1573761],Franka-Panda
0.42214504,0.1304027,0.7420206,[0.45040646],Franka-Panda
-0.077493444,-0.0945912,0.37027055,[1.0601001],Franka-Panda
0.2035636,0.56396097,-0.033669606,[0.56944156],Franka-Panda
-0.009258624,-0.3606129,0.006673731,[0.56090456],Franka-Panda
-0.058591478,-0.08879266,0.39499515,[0.6466786],Franka-Panda
